branch,input_ng,rt_bin,phospho_sum_mean
wCleanup,50,10.25,331705.66039416194
wCleanup,50,10.75,262749.65633299947
wCleanup,50,11.25,325096.1770066023
wCleanup,50,11.75,370158.5692332983
wCleanup,50,12.25,318949.306355536
wCleanup,50,12.75,236571.3727851212
wCleanup,50,13.25,233946.58287858963
wCleanup,50,13.75,107372.12536776066
wCleanup,50,14.25,50287.08797287941
wCleanup,50,14.75,8455.232931137085
wCleanup,50,15.25,1226.2860960364342
wCleanup,100,4.25,163969.36953866482
wCleanup,100,4.75,470174.0004581213
wCleanup,100,5.25,679609.814832896
wCleanup,100,5.75,681914.245428741
wCleanup,100,6.25,847817.9666112065
wCleanup,100,6.75,855962.158917278
wCleanup,100,7.25,834206.2324441075
wCleanup,100,7.75,824925.3095371127
wCleanup,100,8.25,690936.1689236462
wCleanup,100,8.75,777206.4909068346
wCleanup,100,9.25,897185.5940018296
wCleanup,100,9.75,964491.090665102
wCleanup,100,10.25,554421.0084903538
wCleanup,100,10.75,607825.8569414318
wCleanup,100,11.25,635446.7409847975
wCleanup,100,11.75,751466.3211864233
wCleanup,100,12.25,696383.326607585
wCleanup,100,12.75,458589.8427298069
wCleanup,100,13.25,455748.99892634153
wCleanup,100,13.75,229691.11879074574
wCleanup,100,14.25,79769.39420068264
wCleanup,100,14.75,12764.645153522491
wCleanup,100,15.25,2304.254777431488
wCleanup,100,15.75,59.01141866048177
wCleanup,200,4.25,502910.7246429324
wCleanup,200,4.75,1417811.180751741
wCleanup,200,5.25,2064668.0011321008
wCleanup,200,5.75,2051374.6252218783
wCleanup,200,6.25,2214696.823329389
wCleanup,200,6.75,2567246.026243925
wCleanup,200,7.25,2139860.3764257133
wCleanup,200,7.75,2121507.956905216
wCleanup,200,8.25,2064713.5571392179
wCleanup,200,8.75,2172249.371209651
wCleanup,200,9.25,2521012.5300765634
wCleanup,200,9.75,2499069.149925947
wCleanup,200,10.25,1782338.5717606843
wCleanup,200,10.75,2064837.1680288613
wCleanup,200,11.25,1990481.5605382025
wCleanup,200,11.75,2484245.8276956677
wCleanup,200,12.25,2290373.9281942546
wCleanup,200,12.75,1507643.5859104395
wCleanup,200,13.25,1659978.2438382208
wCleanup,200,13.75,893431.6366286278
wCleanup,200,14.25,463571.47084510326
wCleanup,200,14.75,100101.55205994844
wCleanup,200,15.25,15126.009249448776
wCleanup,200,15.75,346.93803119659424
wCleanup,500,4.25,1362674.2925812602
wCleanup,500,4.75,3359159.7634912133
wCleanup,500,5.25,4896427.45573175
wCleanup,500,5.75,4948035.397963941
wCleanup,500,6.25,5260136.5444536805
