branch,input_ng,rt_bin,phospho_sum_mean
woCleanup,500,14.75,818077.1556398869
woCleanup,500,15.25,194128.2596064806
woCleanup,500,15.75,1422.646591424942
woCleanup,1000,4.25,4475204.220309734
woCleanup,1000,4.75,7589326.940030843
woCleanup,1000,5.25,12319242.38471827
woCleanup,1000,5.75,15002180.906967342
woCleanup,1000,6.25,12525416.678043425
woCleanup,1000,6.75,15857654.904476851
woCleanup,1000,7.25,12460445.7171731
woCleanup,1000,7.75,11321285.588234067
woCleanup,1000,8.25,11443682.814139754
woCleanup,1000,8.75,10635519.162837833
woCleanup,1000,9.25,9378228.210619777
woCleanup,1000,9.75,13936622.035146058
woCleanup,1000,10.25,8300764.318986386
woCleanup,1000,10.75,8870250.097037941
woCleanup,1000,11.25,10080260.255532563
woCleanup,1000,11.75,8022441.112892568
woCleanup,1000,12.25,8259854.233205467
woCleanup,1000,12.75,7068527.150224686
woCleanup,1000,13.25,7891433.591086566
woCleanup,1000,13.75,4170047.720671773
woCleanup,1000,14.25,2447710.6597776413
woCleanup,1000,14.75,877058.0494288206
woCleanup,1000,15.25,254118.87412250042
woCleanup,1000,15.75,1262.283552825451
